Timecode List:,00:00:11.512,00:00:36.411,00:00:37.746,00:01:18.453,00:01:31.341,00:01:35.554,00:01:48.192,00:02:31.068,00:02:55.926,00:03:28.250,00:03:50.731,00:04:24.014,00:04:38.153,00:04:51.416,00:05:04.638,00:05:18.277,00:05:43.468,00:05:58.567,00:06:48.951,00:07:02.506,00:07:19.731,00:07:45.090,00:07:57.769,00:08:23.504,00:08:37.142,00:08:55.744,00:09:01.083,00:11:10.963,00:12:11.565,00:13:02.157,00:13:24.763,00:13:49.538,00:13:54.293,00:14:19.943,00:14:35.375,00:14:54.228,00:15:13.288,00:15:20.420,00:15:58.208,00:16:41.335,00:16:57.351,00:17:12.533,00:17:21.083,00:18:00.539,00:19:44.393,00:20:12.254,00:20:28.937,00:20:42.117,00:21:14.274,00:21:27.913,00:22:08.495,00:22:09.162,00:22:43.155,00:23:12.559,00:23:27.199,00:23:27.574,00:23:40.254,00:24:27.009,00:25:07.633,00:25:48.632,00:26:06.441,00:26:07.067,00:27:04.208,00:27:04.875
11,7631,00:05:18.277,318.277,8235,00:05:43.468,343.468,604,00:00:25.192,25.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8235,00:05:43.468,343.468,8597,00:05:58.567,358.567,362,00:00:15.098,15.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,8597,00:05:58.567,358.567,9805,00:06:48.951,408.951,1208,00:00:50.384,50.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9805,00:06:48.951,408.951,10130,00:07:02.506,422.506,325,00:00:13.555,13.555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10130,00:07:02.506,422.506,10543,00:07:19.731,439.731,413,00:00:17.226,17.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,10543,00:07:19.731,439.731,11151,00:07:45.090,465.09,608,00:00:25.359,25.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,11151,00:07:45.090,465.09,11455,00:07:57.769,477.769,304,00:00:12.679,12.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11455,00:07:57.769,477.769,12072,00:08:23.504,503.504,617,00:00:25.734,25.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,12072,00:08:23.504,503.504,12399,00:08:37.142,517.142,327,00:00:13.639,13.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,12399,00:08:37.142,517.142,12845,00:08:55.744,535.744,446,00:00:18.602,18.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,12845,00:08:55.744,535.744,12973,00:09:01.083,541.083,128,00:00:05.339,5.339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,12973,00:09:01.083,541.083,16087,00:11:10.963,670.963,3114,00:02:09.880,129.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,16087,00:11:10.963,670.963,17540,00:12:11.565,731.565,1453,00:01:00.602,60.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,17540,00:12:11.565,731.565,18753,00:13:02.157,782.157,1213,00:00:50.592,50.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,18753,00:13:02.157,782.157,19295,00:13:24.763,804.763,542,00:00:22.606,22.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,19295,00:13:24.763,804.763,19889,00:13:49.538,829.538,594,00:00:24.775,24.775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,19889,00:13:49.538,829.538,20003,00:13:54.293,834.293,114,00:00:04.755,4.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,20003,00:13:54.293,834.293,20618,00:14:19.943,859.943,615,00:00:25.651,25.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,20618,00:14:19.943,859.943,20988,00:14:35.375,875.375,370,00:00:15.432,15.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,20988,00:14:35.375,875.375,21440,00:14:54.228,894.228,452,00:00:18.852,18.852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,21440,00:14:54.228,894.228,21897,00:15:13.288,913.288,457,00:00:19.061,19.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,21897,00:15:13.288,913.288,22068,00:15:20.420,920.42,171,00:00:07.132,7.132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,22068,00:15:20.420,920.42,22974,00:15:58.208,958.208,906,00:00:37.788,37.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,22974,00:15:58.208,958.208,24008,00:16:41.335,1001.335,1034,00:00:43.126,43.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,24008,00:16:41.335,1001.335,24392,00:16:57.351,1017.351,384,00:00:16.016,16.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,24392,00:16:57.351,1017.351,24756,00:17:12.533,1032.533,364,00:00:15.182,15.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,24756,00:17:12.533,1032.533,24961,00:17:21.083,1041.083,205,00:00:08.550,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,24961,00:17:21.083,1041.083,25907,00:18:00.539,1080.539,946,00:00:39.456,39.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,25907,00:18:00.539,1080.539,28397,00:19:44.393,1184.393,2490,00:01:43.854,103.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,28397,00:19:44.393,1184.393,29065,00:20:12.254,1212.254,668,00:00:27.861,27.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,29065,00:20:12.254,1212.254,29465,00:20:28.937,1228.937,400,00:00:16.683,16.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,29465,00:20:28.937,1228.937,29781,00:20:42.117,1242.117,316,00:00:13.180,13.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,29781,00:20:42.117,1242.117,30552,00:21:14.274,1274.274,771,00:00:32.157,32.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,30552,00:21:14.274,1274.274,30879,00:21:27.913,1287.913,327,00:00:13.639,13.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,30879,00:21:27.913,1287.913,31852,00:22:08.495,1328.495,973,00:00:40.582,40.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,31868,00:22:09.162,1329.162,32683,00:22:43.155,1363.155,815,00:00:33.992,33.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,32683,00:22:43.155,1363.155,33388,00:23:12.559,1392.559,705,00:00:29.404,29.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,33388,00:23:12.559,1392.559,33739,00:23:27.199,1407.199,351,00:00:14.640,14.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,33748,00:23:27.574,1407.574,34052,00:23:40.254,1420.254,304,00:00:12.679,12.679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,34052,00:23:40.254,1420.254,35173,00:24:27.009,1467.009,1121,00:00:46.755,46.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,35173,00:24:27.009,1467.009,36147,00:25:07.633,1507.633,974,00:00:40.624,40.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,36147,00:25:07.633,1507.633,37130,00:25:48.632,1548.632,983,00:00:40.999,40.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,37130,00:25:48.632,1548.632,37557,00:26:06.441,1566.441,427,00:00:17.809,17.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
