Timecode List:,00:00:00.083,00:00:29.029,00:01:10.571,00:01:23.417,00:01:27.504,00:02:32.945,00:02:57.511,00:03:15.654,00:03:34.798,00:04:06.997,00:04:57.339,00:05:19.820,00:05:39.965,00:06:15.375,00:07:36.915,00:09:28.402,00:09:30.195,00:09:46.128,00:10:01.351,00:10:17.242,00:10:32.466,00:10:57.824,00:11:18.679,00:11:31.733,00:11:32.359,00:12:39.426,00:14:10.434,00:14:30.204,00:14:41.089,00:15:17.960,00:15:24.883,00:15:40.858,00:15:56.874,00:18:13.468,00:20:30.439,00:21:39.258,00:22:43.238,00:22:56.001,00:23:31.787,00:23:55.227,00:24:20.377,00:24:37.895,00:24:43.192,00:25:16.141,00:25:31.114,00:25:44.878,00:25:57.474,00:26:07.234,00:27:04.625,00:27:05.292
10,9000,00:06:15.375,375.375,10955,00:07:36.915,456.915,1955,00:01:21.540,81.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,10955,00:07:36.915,456.915,13628,00:09:28.402,568.402,2673,00:01:51.486,111.486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,13671,00:09:30.195,570.195,14053,00:09:46.128,586.128,382,00:00:15.933,15.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14053,00:09:46.128,586.128,14418,00:10:01.351,601.351,365,00:00:15.224,15.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14418,00:10:01.351,601.351,14799,00:10:17.242,617.242,381,00:00:15.891,15.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14799,00:10:17.242,617.242,15164,00:10:32.466,632.466,365,00:00:15.224,15.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15164,00:10:32.466,632.466,15772,00:10:57.824,657.824,608,00:00:25.359,25.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15772,00:10:57.824,657.824,16272,00:11:18.679,678.679,500,00:00:20.854,20.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16272,00:11:18.679,678.679,16585,00:11:31.733,691.733,313,00:00:13.055,13.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,16600,00:11:32.359,692.359,18208,00:12:39.426,759.426,1608,00:01:07.067,67.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,18208,00:12:39.426,759.426,20390,00:14:10.434,850.434,2182,00:01:31.008,91.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20390,00:14:10.434,850.434,20864,00:14:30.204,870.204,474,00:00:19.770,19.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,20864,00:14:30.204,870.204,21125,00:14:41.089,881.089,261,00:00:10.886,10.886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21125,00:14:41.089,881.089,22009,00:15:17.960,917.96,884,00:00:36.870,36.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22009,00:15:17.960,917.96,22175,00:15:24.883,924.883,166,00:00:06.924,6.924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22175,00:15:24.883,924.883,22558,00:15:40.858,940.858,383,00:00:15.974,15.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,22558,00:15:40.858,940.858,22942,00:15:56.874,956.874,384,00:00:16.016,16.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,22942,00:15:56.874,956.874,26217,00:18:13.468,1093.468,3275,00:02:16.595,136.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,26217,00:18:13.468,1093.468,29501,00:20:30.439,1230.439,3284,00:02:16.970,136.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29501,00:20:30.439,1230.439,31151,00:21:39.258,1299.258,1650,00:01:08.819,68.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,31151,00:21:39.258,1299.258,32685,00:22:43.238,1363.238,1534,00:01:03.981,63.981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32685,00:22:43.238,1363.238,32991,00:22:56.001,1376.001,306,00:00:12.763,12.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32991,00:22:56.001,1376.001,33849,00:23:31.787,1411.787,858,00:00:35.786,35.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33849,00:23:31.787,1411.787,34411,00:23:55.227,1435.227,562,00:00:23.440,23.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34411,00:23:55.227,1435.227,35014,00:24:20.377,1460.377,603,00:00:25.150,25.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35014,00:24:20.377,1460.377,35434,00:24:37.895,1477.895,420,00:00:17.518,17.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,35434,00:24:37.895,1477.895,35561,00:24:43.192,1483.192,127,00:00:05.297,5.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,35561,00:24:43.192,1483.192,36351,00:25:16.141,1516.141,790,00:00:32.950,32.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,36351,00:25:16.141,1516.141,36710,00:25:31.114,1531.114,359,00:00:14.973,14.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,36710,00:25:31.114,1531.114,37040,00:25:44.878,1544.878,330,00:00:13.764,13.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,37040,00:25:44.878,1544.878,37342,00:25:57.474,1557.474,302,00:00:12.596,12.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,37342,00:25:57.474,1557.474,37576,00:26:07.234,1567.234,234,00:00:09.760,9.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
