Timecode List:,00:00:00.042,00:00:43.877,00:00:44.503,00:01:38.098,00:01:42.227,00:02:08.837,00:04:03.911,00:04:34.316,00:04:50.541,00:05:29.371,00:07:52.681,00:08:06.987,00:08:24.171,00:09:37.744,00:09:50.757,00:10:06.690,00:10:19.494,00:10:32.382,00:10:47.814,00:10:54.821,00:12:21.325,00:12:52.189,00:13:19.883,00:13:21.134,00:13:34.439,00:14:20.485,00:14:54.770,00:15:00.067,00:15:22.548,00:15:40.983,00:17:21.708,00:20:23.515,00:20:59.426,00:21:13.190,00:21:27.496,00:21:40.300,00:21:45.264,00:21:54.565,00:22:34.021,00:22:55.459,00:23:13.936,00:23:27.157,00:23:46.260,00:24:18.667,00:24:35.767,00:25:04.338,00:25:24.608,00:26:18.078,00:26:18.537,00:27:16.345,00:27:16.970
11,14164,00:09:50.757,590.757,14546,00:10:06.690,606.69,382,00:00:15.933,15.933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14546,00:10:06.690,606.69,14853,00:10:19.494,619.494,307,00:00:12.804,12.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14853,00:10:19.494,619.494,15162,00:10:32.382,632.382,309,00:00:12.888,12.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,15162,00:10:32.382,632.382,15532,00:10:47.814,647.814,370,00:00:15.432,15.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15532,00:10:47.814,647.814,15700,00:10:54.821,654.821,168,00:00:07.007,7.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15700,00:10:54.821,654.821,17774,00:12:21.325,741.325,2074,00:01:26.503,86.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17774,00:12:21.325,741.325,18514,00:12:52.189,772.189,740,00:00:30.864,30.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18514,00:12:52.189,772.189,19178,00:13:19.883,799.883,664,00:00:27.694,27.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19208,00:13:21.134,801.134,19527,00:13:34.439,814.439,319,00:00:13.305,13.305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19527,00:13:34.439,814.439,20631,00:14:20.485,860.485,1104,00:00:46.046,46.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20631,00:14:20.485,860.485,21453,00:14:54.770,894.77,822,00:00:34.284,34.284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21453,00:14:54.770,894.77,21580,00:15:00.067,900.067,127,00:00:05.297,5.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,21580,00:15:00.067,900.067,22119,00:15:22.548,922.548,539,00:00:22.481,22.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,22119,00:15:22.548,922.548,22561,00:15:40.983,940.983,442,00:00:18.435,18.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,22561,00:15:40.983,940.983,24976,00:17:21.708,1041.708,2415,00:01:40.726,100.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,24976,00:17:21.708,1041.708,29335,00:20:23.515,1223.515,4359,00:03:01.807,181.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,29335,00:20:23.515,1223.515,30196,00:20:59.426,1259.426,861,00:00:35.911,35.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,30196,00:20:59.426,1259.426,30526,00:21:13.190,1273.19,330,00:00:13.764,13.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30526,00:21:13.190,1273.19,30869,00:21:27.496,1287.496,343,00:00:14.306,14.306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30869,00:21:27.496,1287.496,31176,00:21:40.300,1300.3,307,00:00:12.804,12.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31176,00:21:40.300,1300.3,31295,00:21:45.264,1305.264,119,00:00:04.963,4.963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,31295,00:21:45.264,1305.264,31518,00:21:54.565,1314.565,223,00:00:09.301,9.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,31518,00:21:54.565,1314.565,32464,00:22:34.021,1354.021,946,00:00:39.456,39.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,32464,00:22:34.021,1354.021,32978,00:22:55.459,1375.459,514,00:00:21.438,21.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,32978,00:22:55.459,1375.459,33421,00:23:13.936,1393.936,443,00:00:18.477,18.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,33421,00:23:13.936,1393.936,33738,00:23:27.157,1407.157,317,00:00:13.222,13.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,33738,00:23:27.157,1407.157,34196,00:23:46.260,1426.26,458,00:00:19.102,19.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,34196,00:23:46.260,1426.26,34973,00:24:18.667,1458.667,777,00:00:32.407,32.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,34973,00:24:18.667,1458.667,35383,00:24:35.767,1475.767,410,00:00:17.100,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,35383,00:24:35.767,1475.767,36068,00:25:04.338,1504.338,685,00:00:28.570,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,36068,00:25:04.338,1504.338,36554,00:25:24.608,1524.608,486,00:00:20.270,20.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,36554,00:25:24.608,1524.608,37836,00:26:18.078,1578.078,1282,00:00:53.470,53.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
