Timecode List:,00:00:31.156,00:00:44.169,00:00:58.392,00:00:59.017,00:01:52.529,00:01:56.241,00:02:15.928,00:04:17.799,00:04:53.085,00:06:15.292,00:06:45.864,00:06:45.989,00:09:18.100,00:09:18.475,00:09:46.795,00:10:01.018,00:10:16.116,00:10:16.325,00:10:48.482,00:11:42.411,00:12:49.228,00:13:14.378,00:13:35.899,00:13:36.650,00:13:54.459,00:15:08.992,00:15:09.201,00:15:26.343,00:15:46.530,00:16:00.794,00:17:15.285,00:17:38.684,00:19:04.394,00:19:46.603,00:20:05.372,00:20:26.351,00:20:58.175,00:21:33.794,00:22:00.654,00:22:20.757,00:22:24.511,00:22:39.526,00:22:52.748,00:23:34.331,00:24:06.864,00:24:23.881,00:24:37.769,00:26:06.608,00:26:07.442,00:27:04.625,00:27:05.292
13,18443,00:12:49.228,769.228,19046,00:13:14.378,794.378,603,00:00:25.150,25.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,19046,00:13:14.378,794.378,19562,00:13:35.899,815.899,516,00:00:21.522,21.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,19580,00:13:36.650,816.65,20007,00:13:54.459,834.459,427,00:00:17.809,17.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20007,00:13:54.459,834.459,21794,00:15:08.992,908.992,1787,00:01:14.533,74.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,21799,00:15:09.201,909.201,22210,00:15:26.343,926.343,411,00:00:17.142,17.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,22210,00:15:26.343,926.343,22694,00:15:46.530,946.53,484,00:00:20.187,20.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,22694,00:15:46.530,946.53,23036,00:16:00.794,960.794,342,00:00:14.264,14.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,23036,00:16:00.794,960.794,24822,00:17:15.285,1035.285,1786,00:01:14.491,74.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,24822,00:17:15.285,1035.285,25383,00:17:38.684,1058.684,561,00:00:23.398,23.398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,25383,00:17:38.684,1058.684,27438,00:19:04.394,1144.394,2055,00:01:25.711,85.711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,27438,00:19:04.394,1144.394,28450,00:19:46.603,1186.603,1012,00:00:42.209,42.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,28450,00:19:46.603,1186.603,28900,00:20:05.372,1205.372,450,00:00:18.769,18.769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,28900,00:20:05.372,1205.372,29403,00:20:26.351,1226.351,503,00:00:20.979,20.979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,29403,00:20:26.351,1226.351,30166,00:20:58.175,1258.175,763,00:00:31.823,31.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,30166,00:20:58.175,1258.175,31020,00:21:33.794,1293.794,854,00:00:35.619,35.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,31020,00:21:33.794,1293.794,31664,00:22:00.654,1320.654,644,00:00:26.860,26.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,31664,00:22:00.654,1320.654,32146,00:22:20.757,1340.757,482,00:00:20.103,20.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,32146,00:22:20.757,1340.757,32236,00:22:24.511,1344.511,90,00:00:03.754,3.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,32236,00:22:24.511,1344.511,32596,00:22:39.526,1359.526,360,00:00:15.015,15.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32596,00:22:39.526,1359.526,32913,00:22:52.748,1372.748,317,00:00:13.222,13.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,32913,00:22:52.748,1372.748,33910,00:23:34.331,1414.331,997,00:00:41.583,41.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,33910,00:23:34.331,1414.331,34690,00:24:06.864,1446.864,780,00:00:32.533,32.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,34690,00:24:06.864,1446.864,35098,00:24:23.881,1463.881,408,00:00:17.017,17.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,35098,00:24:23.881,1463.881,35431,00:24:37.769,1477.769,333,00:00:13.889,13.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,35431,00:24:37.769,1477.769,37561,00:26:06.608,1566.608,2130,00:01:28.839,88.839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
