Timecode List:,00:00:00.501,00:00:29.321,00:00:30.239,00:01:21.707,00:01:25.752,00:02:06.877,00:02:31.568,00:02:48.460,00:03:09.648,00:04:39.530,00:05:12.312,00:05:12.688,00:05:25.450,00:06:12.372,00:07:04.091,00:07:17.646,00:09:26.692,00:09:27.150,00:10:24.166,00:11:00.077,00:14:06.847,00:14:27.743,00:14:39.671,00:14:56.021,00:15:39.857,00:16:54.765,00:17:15.994,00:17:42.688,00:18:01.081,00:18:02.082,00:19:35.008,00:19:52.860,00:20:07.916,00:20:08.375,00:23:35.415,00:24:01.233,00:24:14.496,00:24:27.426,00:25:05.797,00:25:06.590,00:26:01.478,00:26:02.104
18,21483,00:14:56.021,896.021,22534,00:15:39.857,939.857,1051,00:00:43.836,43.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,22534,00:15:39.857,939.857,24330,00:16:54.765,1014.765,1796,00:01:14.908,74.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,24330,00:16:54.765,1014.765,24839,00:17:15.994,1035.994,509,00:00:21.230,21.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,24839,00:17:15.994,1035.994,25479,00:17:42.688,1062.688,640,00:00:26.693,26.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,25479,00:17:42.688,1062.688,25920,00:18:01.081,1081.081,441,00:00:18.393,18.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,25944,00:18:02.082,1082.082,28172,00:19:35.008,1175.008,2228,00:01:32.926,92.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,28172,00:19:35.008,1175.008,28600,00:19:52.860,1192.86,428,00:00:17.851,17.851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,28600,00:19:52.860,1192.86,28961,00:20:07.916,1207.916,361,00:00:15.057,15.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,28972,00:20:08.375,1208.375,33936,00:23:35.415,1415.415,4964,00:03:27.040,207.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,33936,00:23:35.415,1415.415,34555,00:24:01.233,1441.233,619,00:00:25.817,25.817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,34555,00:24:01.233,1441.233,34873,00:24:14.496,1454.496,318,00:00:13.263,13.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,34873,00:24:14.496,1454.496,35183,00:24:27.426,1467.426,310,00:00:12.930,12.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,35183,00:24:27.426,1467.426,36103,00:25:05.797,1505.797,920,00:00:38.372,38.372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
