Timecode List:,00:00:28.904,00:00:35.827,00:01:02.312,00:01:17.661,00:01:30.549,00:01:34.469,00:01:52.988,00:02:28.440,00:02:45.249,00:02:45.707,00:03:45.934,00:03:46.435,00:04:01.783,00:04:20.010,00:06:57.417,00:06:58.252,00:08:07.112,00:08:14.036,00:08:28.383,00:09:17.766,00:09:30.404,00:09:30.946,00:09:49.214,00:10:03.562,00:10:19.119,00:11:04.831,00:11:22.891,00:11:32.234,00:12:03.557,00:12:03.974,00:12:16.904,00:12:30.167,00:12:55.108,00:13:20.175,00:13:49.913,00:13:51.665,00:14:47.554,00:14:48.013,00:15:17.125,00:15:23.549,00:15:59.585,00:16:43.128,00:20:01.869,00:20:15.757,00:20:16.216,00:20:48.749,00:21:10.020,00:21:10.354,00:22:37.941,00:22:38.358,00:23:26.198,00:23:40.087,00:24:01.900,00:24:38.103,00:24:42.274,00:24:56.496,00:25:16.767,00:25:32.407,00:26:04.356,00:26:07.526,00:27:05.542,00:27:06.335
15,14471,00:10:03.562,603.562,14844,00:10:19.119,619.119,373,00:00:15.557,15.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14844,00:10:19.119,619.119,15940,00:11:04.831,664.831,1096,00:00:45.712,45.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,15940,00:11:04.831,664.831,16373,00:11:22.891,682.891,433,00:00:18.060,18.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,16373,00:11:22.891,682.891,16597,00:11:32.234,692.234,224,00:00:09.343,9.343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,16597,00:11:32.234,692.234,17348,00:12:03.557,723.557,751,00:00:31.323,31.323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,17358,00:12:03.974,723.974,17668,00:12:16.904,736.904,310,00:00:12.930,12.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,17668,00:12:16.904,736.904,17986,00:12:30.167,750.167,318,00:00:13.263,13.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,17986,00:12:30.167,750.167,18584,00:12:55.108,775.108,598,00:00:24.942,24.942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,18584,00:12:55.108,775.108,19185,00:13:20.175,800.175,601,00:00:25.067,25.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,19185,00:13:20.175,800.175,19898,00:13:49.913,829.913,713,00:00:29.738,29.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,19940,00:13:51.665,831.665,21280,00:14:47.554,887.554,1340,00:00:55.889,55.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,21291,00:14:48.013,888.013,21989,00:15:17.125,917.125,698,00:00:29.112,29.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,21989,00:15:17.125,917.125,22143,00:15:23.549,923.549,154,00:00:06.423,6.423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,22143,00:15:23.549,923.549,23007,00:15:59.585,959.585,864,00:00:36.036,36.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,23007,00:15:59.585,959.585,24051,00:16:43.128,1003.128,1044,00:00:43.544,43.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,24051,00:16:43.128,1003.128,28816,00:20:01.869,1201.869,4765,00:03:18.740,198.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,28816,00:20:01.869,1201.869,29149,00:20:15.757,1215.757,333,00:00:13.889,13.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,29160,00:20:16.216,1216.216,29940,00:20:48.749,1248.749,780,00:00:32.533,32.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,29940,00:20:48.749,1248.749,30450,00:21:10.020,1270.02,510,00:00:21.271,21.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,30458,00:21:10.354,1270.354,32558,00:22:37.941,1357.941,2100,00:01:27.588,87.588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,32568,00:22:38.358,1358.358,33715,00:23:26.198,1406.198,1147,00:00:47.840,47.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,33715,00:23:26.198,1406.198,34048,00:23:40.087,1420.087,333,00:00:13.889,13.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,34048,00:23:40.087,1420.087,34571,00:24:01.900,1441.9,523,00:00:21.813,21.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,34571,00:24:01.900,1441.9,35439,00:24:38.103,1478.103,868,00:00:36.203,36.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,35439,00:24:38.103,1478.103,35539,00:24:42.274,1482.274,100,00:00:04.171,4.171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,35539,00:24:42.274,1482.274,35880,00:24:56.496,1496.496,341,00:00:14.223,14.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,35880,00:24:56.496,1496.496,36366,00:25:16.767,1516.767,486,00:00:20.270,20.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,36366,00:25:16.767,1516.767,36741,00:25:32.407,1532.407,375,00:00:15.641,15.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,36741,00:25:32.407,1532.407,37507,00:26:04.356,1564.356,766,00:00:31.949,31.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,37507,00:26:04.356,1564.356,37583,00:26:07.526,1567.526,76,00:00:03.170,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
