Timecode List:,00:00:07.299,00:00:48.715,00:00:53.637,00:01:47.691,00:01:51.653,00:02:23.644,00:05:02.886,00:05:03.303,00:07:07.719,00:07:40.586,00:08:04.526,00:08:08.697,00:08:20.751,00:08:45.943,00:08:46.276,00:10:02.644,00:10:03.103,00:10:52.110,00:11:03.372,00:12:46.350,00:13:05.619,00:13:24.763,00:13:37.067,00:13:37.442,00:14:01.758,00:14:05.220,00:14:21.320,00:15:03.612,00:15:11.161,00:17:29.758,00:17:30.092,00:17:45.566,00:19:46.311,00:20:01.743,00:20:02.160,00:20:43.368,00:21:09.603,00:21:23.367,00:21:27.120,00:22:24.094,00:22:24.303,00:23:06.345,00:23:06.720,00:23:22.694,00:23:38.126,00:23:51.807,00:24:10.409,00:24:10.784,00:26:09.444,00:26:10.237,00:27:07.461,00:27:08.253
11,15635,00:10:52.110,652.11,15905,00:11:03.372,663.372,270,00:00:11.261,11.261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,15905,00:11:03.372,663.372,18374,00:12:46.350,766.35,2469,00:01:42.978,102.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,18374,00:12:46.350,766.35,18836,00:13:05.619,785.619,462,00:00:19.269,19.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,18836,00:13:05.619,785.619,19295,00:13:24.763,804.763,459,00:00:19.144,19.144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,19295,00:13:24.763,804.763,19590,00:13:37.067,817.067,295,00:00:12.304,12.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,19599,00:13:37.442,817.442,20182,00:14:01.758,841.758,583,00:00:24.316,24.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20182,00:14:01.758,841.758,20265,00:14:05.220,845.22,83,00:00:03.462,3.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20265,00:14:05.220,845.22,20651,00:14:21.320,861.32,386,00:00:16.099,16.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20651,00:14:21.320,861.32,21665,00:15:03.612,903.612,1014,00:00:42.292,42.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21665,00:15:03.612,903.612,21846,00:15:11.161,911.161,181,00:00:07.549,7.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21846,00:15:11.161,911.161,25169,00:17:29.758,1049.758,3323,00:02:18.597,138.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,25177,00:17:30.092,1050.092,25548,00:17:45.566,1065.566,371,00:00:15.474,15.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,25548,00:17:45.566,1065.566,28443,00:19:46.311,1186.311,2895,00:02:00.746,120.746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,28443,00:19:46.311,1186.311,28813,00:20:01.743,1201.743,370,00:00:15.432,15.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,28823,00:20:02.160,1202.16,29811,00:20:43.368,1243.368,988,00:00:41.208,41.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,29811,00:20:43.368,1243.368,30440,00:21:09.603,1269.603,629,00:00:26.235,26.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,30440,00:21:09.603,1269.603,30770,00:21:23.367,1283.367,330,00:00:13.764,13.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,30770,00:21:23.367,1283.367,30860,00:21:27.120,1287.12,90,00:00:03.754,3.754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,30860,00:21:27.120,1287.12,32226,00:22:24.094,1344.094,1366,00:00:56.974,56.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,32231,00:22:24.303,1344.303,33239,00:23:06.345,1386.345,1008,00:00:42.042,42.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,33248,00:23:06.720,1386.72,33631,00:23:22.694,1402.694,383,00:00:15.974,15.974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,33631,00:23:22.694,1402.694,34001,00:23:38.126,1418.126,370,00:00:15.432,15.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34001,00:23:38.126,1418.126,34329,00:23:51.807,1431.807,328,00:00:13.680,13.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34329,00:23:51.807,1431.807,34775,00:24:10.409,1450.409,446,00:00:18.602,18.602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,34784,00:24:10.784,1450.784,37629,00:26:09.444,1569.444,2845,00:01:58.660,118.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
