Timecode List:,00:00:00.000,00:00:40.165,00:00:40.707,00:01:06.024,00:01:34.261,00:01:38.473,00:01:53.780,00:02:13.926,00:02:42.204,00:03:13.277,00:05:20.779,00:06:10.996,00:07:24.319,00:08:00.731,00:08:56.787,00:12:30.459,00:12:43.263,00:13:18.549,00:14:27.993,00:15:09.993,00:15:47.781,00:16:04.423,00:16:20.564,00:16:34.995,00:16:52.554,00:17:34.471,00:17:49.987,00:18:17.222,00:18:36.742,00:19:26.792,00:19:46.478,00:19:51.316,00:20:26.101,00:21:34.378,00:23:09.681,00:23:22.903,00:23:45.509,00:24:17.332,00:24:35.392,00:25:09.801,00:25:31.073,00:25:53.595,00:26:06.733,00:26:07.276,00:27:04.625,00:27:05.292
10,12870,00:08:56.787,536.787,17993,00:12:30.459,750.459,5123,00:03:33.672,213.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17993,00:12:30.459,750.459,18300,00:12:43.263,763.263,307,00:00:12.804,12.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18300,00:12:43.263,763.263,19146,00:13:18.549,798.549,846,00:00:35.285,35.285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19146,00:13:18.549,798.549,20811,00:14:27.993,867.993,1665,00:01:09.444,69.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20811,00:14:27.993,867.993,21818,00:15:09.993,909.993,1007,00:00:42.000,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,21818,00:15:09.993,909.993,22724,00:15:47.781,947.781,906,00:00:37.788,37.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22724,00:15:47.781,947.781,23123,00:16:04.423,964.423,399,00:00:16.642,16.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,23123,00:16:04.423,964.423,23510,00:16:20.564,980.564,387,00:00:16.141,16.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,23510,00:16:20.564,980.564,23856,00:16:34.995,994.995,346,00:00:14.431,14.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,23856,00:16:34.995,994.995,24277,00:16:52.554,1012.554,421,00:00:17.559,17.559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,24277,00:16:52.554,1012.554,25282,00:17:34.471,1054.471,1005,00:00:41.917,41.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,25282,00:17:34.471,1054.471,25654,00:17:49.987,1069.987,372,00:00:15.516,15.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,25654,00:17:49.987,1069.987,26307,00:18:17.222,1097.222,653,00:00:27.236,27.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,26307,00:18:17.222,1097.222,26775,00:18:36.742,1116.742,468,00:00:19.520,19.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,26775,00:18:36.742,1116.742,27975,00:19:26.792,1166.792,1200,00:00:50.050,50.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,27975,00:19:26.792,1166.792,28447,00:19:46.478,1186.478,472,00:00:19.686,19.686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,28447,00:19:46.478,1186.478,28563,00:19:51.316,1191.316,116,00:00:04.838,4.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28563,00:19:51.316,1191.316,29397,00:20:26.101,1226.101,834,00:00:34.785,34.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,29397,00:20:26.101,1226.101,31034,00:21:34.378,1294.378,1637,00:01:08.277,68.277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,31034,00:21:34.378,1294.378,33319,00:23:09.681,1389.681,2285,00:01:35.304,95.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,33319,00:23:09.681,1389.681,33636,00:23:22.903,1402.903,317,00:00:13.222,13.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,33636,00:23:22.903,1402.903,34178,00:23:45.509,1425.509,542,00:00:22.606,22.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,34178,00:23:45.509,1425.509,34941,00:24:17.332,1457.332,763,00:00:31.823,31.823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,34941,00:24:17.332,1457.332,35374,00:24:35.392,1475.392,433,00:00:18.060,18.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,35374,00:24:35.392,1475.392,36199,00:25:09.801,1509.801,825,00:00:34.409,34.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,36199,00:25:09.801,1509.801,36709,00:25:31.073,1531.073,510,00:00:21.271,21.271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36709,00:25:31.073,1531.073,37249,00:25:53.595,1553.595,540,00:00:22.523,22.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37249,00:25:53.595,1553.595,37564,00:26:06.733,1566.733,315,00:00:13.138,13.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
