Timecode List:,00:00:00.567,00:00:28.228,00:00:28.595,00:01:08.001,00:01:20.347,00:01:24.518,00:01:28.689,00:01:40.634,00:03:20.634,00:04:34.107,00:04:47.120,00:04:57.764,00:05:01.635,00:07:31.151,00:07:44.798,00:08:08.422,00:08:17.664,00:08:26.340,00:08:37.484,00:08:51.932,00:10:31.131,00:10:49.183,00:11:17.377,00:11:44.738,00:11:53.180,00:12:07.194,00:12:20.674,00:12:58.445,00:12:59.780,00:13:15.896,00:13:26.106,00:13:51.999,00:14:02.342,00:14:16.523,00:14:35.809,00:14:44.685,00:16:22.015,00:19:57.297,00:19:57.497,00:20:10.110,00:20:27.094,00:20:52.986,00:20:59.793,00:21:15.876,00:21:24.051,00:21:53.914,00:22:06.293,00:22:47.301,00:22:47.501,00:23:51.231,00:25:22.689,00:26:18.245,00:26:18.879
17,19456,00:10:49.183,649.183,20301,00:11:17.377,677.377,845,00:00:28.195,28.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20301,00:11:17.377,677.377,21121,00:11:44.738,704.738,820,00:00:27.361,27.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,21121,00:11:44.738,704.738,21374,00:11:53.180,713.18,253,00:00:08.442,8.442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,21374,00:11:53.180,713.18,21794,00:12:07.194,727.194,420,00:00:14.014,14.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21794,00:12:07.194,727.194,22198,00:12:20.674,740.674,404,00:00:13.480,13.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22198,00:12:20.674,740.674,23330,00:12:58.445,778.445,1132,00:00:37.771,37.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23370,00:12:59.780,779.78,23853,00:13:15.896,795.896,483,00:00:16.116,16.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,23853,00:13:15.896,795.896,24159,00:13:26.106,806.106,306,00:00:10.210,10.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,24159,00:13:26.106,806.106,24935,00:13:51.999,831.999,776,00:00:25.893,25.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,24935,00:13:51.999,831.999,25245,00:14:02.342,842.342,310,00:00:10.344,10.344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,25245,00:14:02.342,842.342,25670,00:14:16.523,856.523,425,00:00:14.181,14.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,25670,00:14:16.523,856.523,26248,00:14:35.809,875.809,578,00:00:19.286,19.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,26248,00:14:35.809,875.809,26514,00:14:44.685,884.685,266,00:00:08.876,8.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,26514,00:14:44.685,884.685,29431,00:16:22.015,982.015,2917,00:01:37.331,97.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,29431,00:16:22.015,982.015,35883,00:19:57.297,1197.297,6452,00:03:35.282,215.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,35889,00:19:57.497,1197.497,36267,00:20:10.110,1210.11,378,00:00:12.613,12.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,36267,00:20:10.110,1210.11,36776,00:20:27.094,1227.094,509,00:00:16.984,16.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,36776,00:20:27.094,1227.094,37552,00:20:52.986,1252.986,776,00:00:25.893,25.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,37552,00:20:52.986,1252.986,37756,00:20:59.793,1259.793,204,00:00:06.807,6.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,37756,00:20:59.793,1259.793,38238,00:21:15.876,1275.876,482,00:00:16.083,16.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,38238,00:21:15.876,1275.876,38483,00:21:24.051,1284.051,245,00:00:08.175,8.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38483,00:21:24.051,1284.051,39378,00:21:53.914,1313.914,895,00:00:29.863,29.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39378,00:21:53.914,1313.914,39749,00:22:06.293,1326.293,371,00:00:12.379,12.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,39749,00:22:06.293,1326.293,40978,00:22:47.301,1367.301,1229,00:00:41.008,41.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,40984,00:22:47.501,1367.501,42894,00:23:51.231,1431.231,1910,00:01:03.730,63.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42894,00:23:51.231,1431.231,45635,00:25:22.689,1522.689,2741,00:01:31.458,91.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
